ACTIVITY_START_TS,WIN_MONITORING_LOC_ID,Lat,Long,Chlorophyll-a (ug/L),DO(mg/l),Nitrite (NO2) + Nitrate (NO3) as N,"Nitrogen, Kjeldahl (mg/L)",Phosphorus as P (mg/L),Salinity(ppth),Salinity(emperical),Salinity(ppt),Specific Conductance(uS/cm),"Temperature, Water (deg C)",Turbidity(NTU),pH,ATemp_max,ATemp_max_1dlag,ATemp_max_2dlag,ATemp_max_3dlag,ATemp_max_4dlag,ATemp_max_5dlag,ATemp_max_6dlag,ATemp_max_7dlag,Julian Year
3/30/2021,14SEAS090,29.7348333,-85.331666,1.8,7.19,0.004,0.21,0.01,,30.8348,30.8348,51528,19.8,1.1,8.06,22.22222222,27.77777778,29.44444444,30,27.77777778,-17.77777778,23.33333333,22.77777778,2021.240931
4/4/2022,14SEAS090,29.7348333,-85.331666,3.1,8.03,0.004,0.24,0.011,,29.5802,29.5802,49437,18.2,0.85,7.65,26.66666667,-17.77777778,27.22222222,26.11111111,25,27.22222222,26.66666667,25,2022.25462
4/13/2021,14SEAS090,29.7348333,-85.331666,1.6,8.02,0.011,0.26,0.009,,27.9962,27.9962,46797,19.8,1.1,8.2,28.33333333,23.33333333,21.66666667,19.44444444,25,26.11111111,25,24.44444444,2021.279261
4/25/2023,14SEAS090,29.7348333,-85.331666,6.6,7.14,0.004,0.28,0.016,,29.3228,29.3228,49008,19.1,1.7,8.06,24.44444444,27.77777778,27.77777778,27.22222222,27.77777778,27.77777778,26.66666667,23.88888889,2023.312115
5/4/2021,14SEAS090,29.7348333,-85.331666,3.8,6.08,0.004,0.27,0.015,,30.674,30.674,51260,22.4,2.1,7.92,31.11111111,-17.77777778,30,30,29.44444444,27.77777778,27.22222222,-17.77777778,2021.336756
5/9/2023,14SEAS090,29.7348333,-85.331666,1.9,7.31,0.004,0.26,0.012,,29.7182,29.7182,49667,21.5,0.7,8.21,28.88888889,28.88888889,28.33333333,25,28.33333333,26.66666667,25.55555556,21.66666667,2023.350445
5/16/2022,14SEAS090,29.7348333,-85.331666,3,5.88,0.004,0.26,0.014,,28.6796,28.6796,47936,24.1,1.4,7.58,30,31.11111111,30,30.55555556,30,29.44444444,28.33333333,31.11111111,2022.36961
6/1/2021,14SEAS090,29.7348333,-85.331666,11,4.86,0.004,0.47,0.021,,29.3246,29.3246,49011,24.7,2.9,8.04,30.55555556,30,33.33333333,30.55555556,31.11111111,31.66666667,32.77777778,-17.77777778,2021.413415
6/1/2022,14SEAS090,29.7348333,-85.331666,5.6,7.27,0.004,0.29,0.013,,28.859,28.859,48235,24.5,1.2,7.57,-17.77777778,32.22222222,31.11111111,31.66666667,30,23.33333333,27.22222222,31.11111111,2022.413415
6/7/2023,14SEAS090,29.7348333,-85.331666,1.7,7.38,0.004,0.26,0.014,,30.3116,30.3116,50656,23,0.45,8.33,28.88888889,29.44444444,30.55555556,30.55555556,30,27.77777778,26.11111111,28.88888889,2023.429843
6/17/2020,14SEAS090,29.7348333,-85.331666,3,6.32,0.004,0.28,0.011,,29.1632,29.1632,48742,27.3,0.65,7.85,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,2020.459959
7/6/2022,14SEAS090,29.7348333,-85.331666,4.2,6.44,0.004,0.42,0.021,,29.7806,29.7806,49771,28.4,1.2,8.12,31.66666667,30.55555556,30,30,31.11111111,32.22222222,32.22222222,33.33333333,2022.50924
7/18/2023,14SEAS090,29.7348333,-85.331666,5.4,7.5,0.004,0.33,0.012,,26.591,26.591,44455,25.8,0.85,8.28,33.88888889,-17.77777778,-17.77777778,-17.77777778,31.11111111,31.11111111,32.22222222,-17.77777778,2023.542094
7/22/2021,14SEAS090,29.7348333,-85.331666,8.6,6.31,0.004,0.51,0.019,,31.1192,31.1192,52002,27.9,3.4,8.15,31.66666667,28.88888889,31.11111111,32.77777778,32.77777778,32.77777778,32.22222222,33.33333333,2021.553046
8/9/2022,14SEAS090,29.7348333,-85.331666,10,4.66,0.037,0.43,0.022,,29.6534,29.6534,49559,26.5,3.3,7.93,31.66666667,-17.77777778,27.22222222,31.66666667,-17.77777778,30,32.22222222,33.33333333,2022.602327
8/10/2021,14SEAS090,29.7348333,-85.331666,3.1,6.64,0.004,0.29,0.013,,30.5822,30.5822,51107,29,0.9,8.08,33.33333333,31.66666667,32.77777778,32.77777778,-17.77777778,30,30.55555556,33.33333333,2021.605065
8/12/2019,14SEAS090,29.7348333,-85.331666,3.6,5.8,0.004,0.45,0.014,,26.8484,26.8484,44884,30.4,1,8.87,32.77777778,34.44444444,32.22222222,32.22222222,33.33333333,31.66666667,29.44444444,32.22222222,2019.610541
8/14/2023,14SEAS090,29.7348333,-85.331666,9.1,10.33,0.004,0.53,0.015,,30.362,30.362,50740,32.3,1.4,8.18,37.22222222,35.55555556,35,36.11111111,35,35,32.77777778,32.77777778,2023.616016
9/2/2020,14SEAS090,29.7348333,-85.331666,2.7,6.87,0.004,0.27,0.013,,28.9532,28.9532,48392,28.6,1.1,7.99,31.66666667,31.66666667,29.44444444,26.66666667,32.77777778,32.22222222,32.77777778,32.77777778,2020.670773
9/9/2019,14SEAS090,29.7348333,-85.331666,5.3,5.93,0.004,0.32,0.013,,28.5602,28.5602,47737,29.4,2.1,8.06,35,34.44444444,33.33333333,35.55555556,33.88888889,32.77777778,31.11111111,32.22222222,2019.687201
9/11/2023,14SEAS090,29.7348333,-85.331666,7.9,6,0.004,0.55,0.022,,31.5032,31.5032,52642,30,2.7,8.07,32.77777778,31.66666667,32.22222222,33.33333333,33.33333333,32.77777778,30,30,2023.692676
9/13/2022,14SEAS090,29.7348333,-85.331666,5.4,5.2,0.048,0.39,0.021,,27.8864,27.8864,46614,27.5,2.2,7.87,30.55555556,28.88888889,27.77777778,27.77777778,28.33333333,28.33333333,31.66666667,31.11111111,2022.698152
9/14/2021,14SEAS090,29.7348333,-85.331666,12,6.08,0.024,0.34,0.018,,29.3798,29.3798,49103,25.5,2.1,8.01,30.55555556,30,30.55555556,29.44444444,30.55555556,23.33333333,31.11111111,31.66666667,2021.70089
10/2/2019,14SEAS090,29.7348333,-85.331666,6.4,5.32,0.004,0.37,0.015,,29.3186,29.3186,49001,27.6,0.9,7.78,33.33333333,-17.77777778,31.66666667,32.22222222,34.44444444,-17.77777778,35.55555556,33.33333333,2019.750171
10/6/2020,14SEAS090,29.7348333,-85.331666,12,7.08,0.01,0.33,0.016,,24.7124,24.7124,41324,20.9,2.9,9.23,23.88888889,23.88888889,22.77777778,23.33333333,22.22222222,24.44444444,-17.77777778,30,2020.76386
10/11/2022,14SEAS090,29.7348333,-85.331666,3.2,7.27,0.004,0.4,0.013,,29.6234,29.6234,49509,20.1,1.1,8.19,27.22222222,27.22222222,29.44444444,29.44444444,28.33333333,27.22222222,25,26.11111111,2022.774812
10/23/2023,14SEAS090,29.7348333,-85.331666,3.7,6.02,0.004,0.44,0.014,,29.2586,29.2586,48901,22.6,1.3,7.91,31.66666667,26.66666667,27.22222222,25,23.33333333,20.55555556,18.88888889,21.66666667,2023.807666
10/26/2021,14SEAS090,29.7348333,-85.331666,6.5,6.96,0.004,0.4,0.032,,25.037,25.037,41865,23,2.2,8.09,28.88888889,25,27.22222222,30,27.22222222,26.66666667,25.55555556,21.11111111,2021.81588
11/3/2020,14SEAS090,29.7348333,-85.331666,8.3,8.26,0.004,0.34,0.015,,29.0516,29.0516,48556,17.8,2.2,8.36,17.22222222,25,25,19.44444444,27.22222222,28.33333333,26.11111111,28.88888889,2020.84052
11/9/2021,14SEAS090,29.7348333,-85.331666,3.5,8.37,0.004,0.26,0.012,,29.5424,29.5424,49374,16.1,0.65,8.12,22.22222222,20,17.22222222,13.33333333,22.77777778,23.33333333,23.33333333,22.22222222,2021.854209
11/25/2019,14SEAS090,29.7348333,-85.331666,1.9,7.93,0.004,0.26,0.014,,28.5734,28.5734,47759,16.4,0.95,8.01,15.55555556,25.55555556,25.55555556,21.66666667,20.55555556,21.11111111,21.11111111,20,2019.898015
11/28/2022,14SEAS090,29.7348333,-85.331666,0.82,7.05,0.004,0.26,0.008,,30.4166,30.4166,50831,15.4,0.4,8.02,21.11111111,22.22222222,26.66666667,22.22222222,22.22222222,21.11111111,19.44444444,8.888888889,2022.906229
11/29/2023,14SEAS090,29.7348333,-85.331666,6.7,7.95,0.004,0.24,0.014,,30.4412,30.4412,50872,16.5,1.5,8.02,14.44444444,14.44444444,16.11111111,21.66666667,18.88888889,13.33333333,18.33333333,23.33333333,2023.908966
12/5/2019,14SEAS090,29.7348333,-85.331666,1.6,8.46,0.004,0.33,0.009,,28.6778,28.6778,47933,15.2,0.7,8.06,18.88888889,11.66666667,12.22222222,23.88888889,26.66666667,23.88888889,23.88888889,27.77777778,2019.925394
12/6/2022,14SEAS090,29.7348333,-85.331666,0.83,8.76,0.004,0.19,0.007,,30.4892,30.4892,50952,15.6,0.3,8.04,25.55555556,25,26.66666667,22.77777778,16.66666667,23.88888889,25,25,2022.928131
12/8/2021,14SEAS090,29.7348333,-85.331666,3.2,6.44,0.004,0.28,0.013,,31.2824,31.2824,52274,16.5,0.8,7.83,19.44444444,22.77777778,21.11111111,21.66666667,22.77777778,24.44444444,21.66666667,19.44444444,2021.933607
12/20/2023,14SEAS090,29.7348333,-85.331666,2.4,8.57,0.006,0.18,0.006,,28.9922,28.9922,48457,13,0.75,7.97,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,2023.966461
1/4/2022,14SEAS101,29.7888333,-85.3405,6.5,7.73,0.009,0.33,0.019,,30.9608,30.9608,51738,15.5,2,7.96,7.777777778,26.66666667,27.77777778,26.11111111,26.66666667,25.55555556,25,24.44444444,2022.008214
1/9/2023,14SEAS101,29.7888333,-85.3405,1.6,9.07,0.004,0.27,0.006,,30.0854,30.0854,50279,12.2,0.3,8.09,20.55555556,21.11111111,17.22222222,21.11111111,22.77777778,23.33333333,25,27.22222222,2023.021903
1/19/2021,14SEAS101,29.7888333,-85.3405,4.9,9.86,0.004,0.27,0.009,,26.9882,26.9882,45117,11.1,1.2,8.27,16.66666667,13.88888889,11.66666667,17.22222222,16.66666667,11.11111111,10,17.22222222,2021.049281
1/28/2020,14SEAS101,29.7888333,-85.3405,2.8,8.89,0.009,0.19,0.011,,26.318,26.318,44000,12.7,1,8.45,15.55555556,15,15.55555556,21.66666667,19.44444444,12.77777778,6.666666667,17.77777778,2020.073922
2/3/2021,14SEAS101,29.7888333,-85.3405,9.2,8.95,0.004,0.25,0.016,,29.0672,29.0672,48582,11.4,2.6,8.11,12.22222222,8.333333333,21.66666667,17.22222222,15.55555556,13.33333333,25,22.77777778,2021.090349
2/8/2022,14SEAS101,29.7888333,-85.3405,3.9,9.22,0.018,0.38,0.01,,29.5184,29.5184,49334,10.4,1.2,8.27,10,15.55555556,10,18.88888889,21.11111111,21.66666667,18.88888889,20,2022.104038
2/11/2020,14SEAS101,29.7888333,-85.3405,2.7,8.55,0.004,0.25,0.009,,29.3036,29.3036,48976,15.9,1.1,7.96,23.33333333,21.66666667,19.44444444,13.33333333,24.44444444,25,22.22222222,23.88888889,2020.112252
2/13/2023,14SEAS101,29.7888333,-85.3405,5.9,8.96,0.014,0.28,0.015,,27.1466,27.1466,45381,12.2,2.8,7.99,13.88888889,15,19.44444444,24.44444444,25,21.11111111,20.55555556,21.66666667,2023.117728
3/16/2020,14SEAS101,29.7888333,-85.3405,2.2,8.52,0.022,0.23,0.009,,23.3768,23.3768,39098,22.5,1.2,7.97,28.33333333,28.33333333,27.22222222,26.66666667,24.44444444,24.44444444,23.33333333,20.55555556,2020.205339
3/24/2022,14SEAS101,29.7888333,-85.3405,3.7,8.22,0.16,0.27,0.021,,19.2872,19.2872,32282,17.2,5.4,8.08,22.22222222,24.44444444,23.33333333,22.22222222,22.22222222,25.55555556,25,23.33333333,2022.224504
3/30/2021,14SEAS101,29.7888333,-85.3405,0.96,7.62,0.004,0.31,0.009,,29.7326,29.7326,49691,19.8,0.5,8.13,22.22222222,27.77777778,29.44444444,30,27.77777778,-17.77777778,23.33333333,22.77777778,2021.240931
4/4/2022,14SEAS101,29.7888333,-85.3405,3.7,8.25,0.03,0.38,0.013,,25.8758,25.8758,43263,18.1,1.4,7.92,26.66666667,-17.77777778,27.22222222,26.11111111,25,27.22222222,26.66666667,25,2022.25462
4/13/2021,14SEAS101,29.7888333,-85.3405,1.5,8.07,0.012,0.33,0.009,,27.3578,27.3578,45733,19.4,1.6,8.15,28.33333333,23.33333333,21.66666667,19.44444444,25,26.11111111,25,24.44444444,2021.279261
4/25/2023,14SEAS101,29.7888333,-85.3405,2.3,8.08,0.004,0.21,0.01,,27.9146,27.9146,46661,18.6,0.75,8.13,24.44444444,27.77777778,27.77777778,27.22222222,27.77777778,27.77777778,26.66666667,23.88888889,2023.312115
5/4/2021,14SEAS101,29.7888333,-85.3405,1.8,7.07,0.004,0.22,0.008,,29.7386,29.7386,49701,22.8,0.45,7.88,31.11111111,-17.77777778,30,30,29.44444444,27.77777778,27.22222222,-17.77777778,2021.336756
5/9/2023,14SEAS101,29.7888333,-85.3405,0.89,7.62,0.004,0.24,0.008,,29.2772,29.2772,48932,21.4,0.3,8.18,28.88888889,28.88888889,28.33333333,25,28.33333333,26.66666667,25.55555556,21.66666667,2023.350445
5/16/2022,14SEAS101,29.7888333,-85.3405,3.3,8.09,0.004,0.24,0.012,,27.878,27.878,46600,23.9,0.7,7.64,30,31.11111111,30,30.55555556,30,29.44444444,28.33333333,31.11111111,2022.36961
6/1/2021,14SEAS101,29.7888333,-85.3405,2.5,7.1,0.004,0.28,0.008,,28.8368,28.8368,48198,24.9,0.85,7.1,30.55555556,30,33.33333333,30.55555556,31.11111111,31.66666667,32.77777778,-17.77777778,2021.413415
6/1/2022,14SEAS101,29.7888333,-85.3405,2.5,7.76,0.004,0.32,0.008,,27.749,27.749,46385,24.5,0.7,7.75,-17.77777778,32.22222222,31.11111111,31.66666667,30,23.33333333,27.22222222,31.11111111,2022.413415
6/7/2023,14SEAS101,29.7888333,-85.3405,2,7.54,0.014,0.3,0.011,,29.6534,29.6534,49559,22.6,0.8,8.36,28.88888889,29.44444444,30.55555556,30.55555556,30,27.77777778,26.11111111,28.88888889,2023.429843
6/17/2020,14SEAS101,29.7888333,-85.3405,9.1,7.03,0.004,0.34,0.015,,28.4678,28.4678,47583,27.3,1,7.82,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,2020.459959
7/6/2022,14SEAS101,29.7888333,-85.3405,2.9,7.07,0.004,0.27,0.012,,28.9412,28.9412,48372,27.8,0.7,8.06,31.66666667,30.55555556,30,30,31.11111111,32.22222222,32.22222222,33.33333333,2022.50924
7/18/2023,14SEAS101,29.7888333,-85.3405,4.4,8,0.014,0.48,0.013,,28.85,28.85,48220,31.4,1.4,8.15,33.88888889,-17.77777778,-17.77777778,-17.77777778,31.11111111,31.11111111,32.22222222,-17.77777778,2023.542094
7/22/2021,14SEAS101,29.7888333,-85.3405,2.8,6.76,0.004,0.29,0.011,,29.3972,29.3972,49132,28.2,0.8,8.28,31.66666667,28.88888889,31.11111111,32.77777778,32.77777778,32.77777778,32.22222222,33.33333333,2021.553046
8/9/2022,14SEAS101,29.7888333,-85.3405,3.8,6.28,0.004,0.35,0.011,,29.2022,29.2022,48807,26.7,0.45,8.06,31.66666667,-17.77777778,27.22222222,31.66666667,-17.77777778,30,32.22222222,33.33333333,2022.602327
8/10/2021,14SEAS101,29.7888333,-85.3405,2,7.25,0.004,0.24,0.012,,29.4374,29.4374,49199,29.4,0.35,8.34,33.33333333,31.66666667,32.77777778,32.77777778,-17.77777778,30,30.55555556,33.33333333,2021.605065
8/12/2019,14SEAS101,29.7888333,-85.3405,4.4,6.7,0.004,0.38,0.014,,27.3752,27.3752,45762,30.4,2.8,8.09,32.77777778,34.44444444,32.22222222,32.22222222,33.33333333,31.66666667,29.44444444,32.22222222,2019.610541
8/14/2023,14SEAS101,29.7888333,-85.3405,13,7.5,0.004,0.52,0.012,,29.7716,29.7716,49756,31.9,0.95,8.29,37.22222222,35.55555556,35,36.11111111,35,35,32.77777778,32.77777778,2023.616016
9/2/2020,14SEAS101,29.7888333,-85.3405,2.3,7.15,0.004,0.18,0.01,,29.4464,29.4464,49214,28.4,4.9,7.97,31.66666667,31.66666667,29.44444444,26.66666667,32.77777778,32.22222222,32.77777778,32.77777778,2020.670773
9/9/2019,14SEAS101,29.7888333,-85.3405,3.1,6.67,0.004,0.3,0.01,,28.8386,28.8386,48201,29.6,0.6,8.08,35,34.44444444,33.33333333,35.55555556,33.88888889,32.77777778,31.11111111,32.22222222,2019.687201
9/11/2023,14SEAS101,29.7888333,-85.3405,5.2,7.04,0.004,0.42,0.016,,31.0748,31.0748,51928,29.8,1.2,8.22,32.77777778,31.66666667,32.22222222,33.33333333,33.33333333,32.77777778,30,30,2023.692676
9/13/2022,14SEAS101,29.7888333,-85.3405,3.3,6.31,0.01,0.37,0.014,,27.7154,27.7154,46329,28.3,0.5,7.99,30.55555556,28.88888889,27.77777778,27.77777778,28.33333333,28.33333333,31.66666667,31.11111111,2022.698152
9/14/2021,14SEAS101,29.7888333,-85.3405,7.9,7.03,0.005,0.59,0.018,,28.3292,28.3292,47352,25.8,0.55,8.05,30.55555556,30,30.55555556,29.44444444,30.55555556,23.33333333,31.11111111,31.66666667,2021.70089
10/2/2019,14SEAS101,29.7888333,-85.3405,2.7,6.7,0.004,0.32,0.013,,29.1374,29.1374,48699,28.3,0.6,7.8,33.33333333,-17.77777778,31.66666667,32.22222222,34.44444444,-17.77777778,35.55555556,33.33333333,2019.750171
10/6/2020,14SEAS101,29.7888333,-85.3405,6.3,7.36,0.022,0.27,0.021,,24.9542,24.9542,41727,21.3,0.8,8.86,23.88888889,23.88888889,22.77777778,23.33333333,22.22222222,24.44444444,-17.77777778,30,2020.76386
10/11/2022,14SEAS101,29.7888333,-85.3405,4.6,7.34,0.004,0.4,0.016,,29.2424,29.2424,48874,20.1,1.2,8.22,27.22222222,27.22222222,29.44444444,29.44444444,28.33333333,27.22222222,25,26.11111111,2022.774812
10/23/2023,14SEAS101,29.7888333,-85.3405,1.8,7.27,0.004,0.3,0.01,,29.1734,29.1734,48759,22.3,0.45,7.99,31.66666667,26.66666667,27.22222222,25,23.33333333,20.55555556,18.88888889,21.66666667,2023.807666
10/26/2021,14SEAS101,29.7888333,-85.3405,3.4,7.28,0.004,0.24,0.01,,27.9512,27.9512,46722,22.7,0.5,8.18,28.88888889,25,27.22222222,30,27.22222222,26.66666667,25.55555556,21.11111111,2021.81588
11/3/2020,14SEAS101,29.7888333,-85.3405,9.4,8.04,0.004,0.31,0.012,,28.6922,28.6922,47957,19.9,1,8.35,17.22222222,25,25,19.44444444,27.22222222,28.33333333,26.11111111,28.88888889,2020.84052
11/9/2021,14SEAS101,29.7888333,-85.3405,5,8.59,0.004,0.3,0.013,,29.2934,29.2934,48959,16.2,0.7,8.13,22.22222222,20,17.22222222,13.33333333,22.77777778,23.33333333,23.33333333,22.22222222,2021.854209
11/25/2019,14SEAS101,29.7888333,-85.3405,1.1,8.01,0.009,0.24,0.008,,28.7846,28.7846,48111,16.3,0.35,8.02,15.55555556,25.55555556,25.55555556,21.66666667,20.55555556,21.11111111,21.11111111,20,2019.898015
11/28/2022,14SEAS101,29.7888333,-85.3405,1.3,8.69,0.004,0.25,0.008,,30.2762,30.2762,50597,14,0.4,8.14,21.11111111,22.22222222,26.66666667,22.22222222,22.22222222,21.11111111,19.44444444,8.888888889,2022.906229
11/29/2023,14SEAS101,29.7888333,-85.3405,3.5,7.76,0.004,0.38,0.009,,30.3002,30.3002,50637,17,0.7,8.01,14.44444444,14.44444444,16.11111111,21.66666667,18.88888889,13.33333333,18.33333333,23.33333333,2023.908966
12/5/2019,14SEAS101,29.7888333,-85.3405,1.2,8.26,0.004,0.31,0.01,,28.988,28.988,48450,15.6,0.8,8.07,18.88888889,11.66666667,12.22222222,23.88888889,26.66666667,23.88888889,23.88888889,27.77777778,2019.925394
12/6/2022,14SEAS101,29.7888333,-85.3405,0.89,9.06,0.004,0.19,0.007,,30.143,30.143,50375,15.7,0.3,8.06,25.55555556,25,26.66666667,22.77777778,16.66666667,23.88888889,25,25,2022.928131
12/8/2021,14SEAS101,29.7888333,-85.3405,0.86,8.49,0.004,0.27,0.011,,30.341,30.341,50705,15.5,0.25,7.91,19.44444444,22.77777778,21.11111111,21.66666667,22.77777778,24.44444444,21.66666667,19.44444444,2021.933607
12/20/2023,14SEAS101,29.7888333,-85.3405,2.6,8.51,0.008,0.2,0.006,31.78,-0.082,31.78,,13.4,0.5,7.97,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,2023.966461
1/28/2020,14SEAS151,29.831,-85.347666,3,9.08,0.11,0.2,0.015,,20.978,20.978,35100,12.7,3.8,8.25,15.55555556,15,15.55555556,21.66666667,19.44444444,12.77777778,6.666666667,17.77777778,2020.073922
2/11/2020,14SEAS151,29.831,-85.347666,2.6,8.62,0.12,0.29,0.016,,27.0608,27.0608,45238,15.6,6.2,8.02,23.33333333,21.66666667,19.44444444,13.33333333,24.44444444,25,22.22222222,23.88888889,2020.112252
3/16/2020,14SEAS151,29.831,-85.347666,2.3,7.86,0.056,0.2,0.011,,17.8934,17.8934,29959,22.8,3.2,7.84,28.33333333,28.33333333,27.22222222,26.66666667,24.44444444,24.44444444,23.33333333,20.55555556,2020.205339
8/12/2019,14SEAS151,29.831,-85.347666,4,5.93,0.004,0.35,0.017,,28.3184,28.3184,47334,30,1.3,7.99,32.77777778,34.44444444,32.22222222,32.22222222,33.33333333,31.66666667,29.44444444,32.22222222,2019.610541
9/9/2019,14SEAS151,29.831,-85.347666,6.1,6.67,0.004,0.29,0.016,,28.598,28.598,47800,29.6,1.5,8.08,35,34.44444444,33.33333333,35.55555556,33.88888889,32.77777778,31.11111111,32.22222222,2019.687201
10/2/2019,14SEAS151,29.831,-85.347666,3.1,6.6,0.004,0.31,0.014,,29.0414,29.0414,48539,28.5,0.65,7.64,33.33333333,-17.77777778,31.66666667,32.22222222,34.44444444,-17.77777778,35.55555556,33.33333333,2019.750171
11/25/2019,14SEAS151,29.831,-85.347666,1.6,8.01,0.004,0.23,0.01,,25.4702,25.4702,42587,16.1,0.75,8,15.55555556,25.55555556,25.55555556,21.66666667,20.55555556,21.11111111,21.11111111,20,2019.898015
12/5/2019,14SEAS151,29.831,-85.347666,1.8,8.1,0.004,0.3,0.011,,28.3484,28.3484,47384,15.6,0.65,8.04,18.88888889,11.66666667,12.22222222,23.88888889,26.66666667,23.88888889,23.88888889,27.77777778,2019.925394
1/28/2020,14SEAS180,29.7723333,-85.379333,2.6,8.98,0.008,0.18,0.01,,26.198,26.198,43800,12.9,1,8.07,15.55555556,15,15.55555556,21.66666667,19.44444444,12.77777778,6.666666667,17.77777778,2020.073922
2/11/2020,14SEAS180,29.7723333,-85.379333,2.5,8.42,0.004,0.27,0.009,,29.9678,29.9678,50083,15.5,0.7,8.03,23.33333333,21.66666667,19.44444444,13.33333333,24.44444444,25,22.22222222,23.88888889,2020.112252
3/16/2020,14SEAS180,29.7723333,-85.379333,2,8.2,0.041,0.18,0.01,,19.2758,19.2758,32263,22,2.2,8.03,28.33333333,28.33333333,27.22222222,26.66666667,24.44444444,24.44444444,23.33333333,20.55555556,2020.205339
6/17/2020,14SEAS180,29.7723333,-85.379333,3,6.39,0.004,0.23,0.012,,29.42,29.42,49170,27.2,0.9,7.77,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,-17.77777778,2020.459959
8/12/2019,14SEAS180,29.7723333,-85.379333,4.4,5.91,0.004,0.33,0.014,,28.22,28.22,47170,29.8,0.95,8.03,32.77777778,34.44444444,32.22222222,32.22222222,33.33333333,31.66666667,29.44444444,32.22222222,2019.610541
9/9/2019,14SEAS180,29.7723333,-85.379333,3.4,6.65,0.004,0.31,0.01,,28.727,28.727,48015,29.1,0.65,8.09,35,34.44444444,33.33333333,35.55555556,33.88888889,32.77777778,31.11111111,32.22222222,2019.687201
10/2/2019,14SEAS180,29.7723333,-85.379333,4.2,6.18,0.004,0.35,0.015,,29.468,29.468,49250,28.2,0.8,7.73,33.33333333,-17.77777778,31.66666667,32.22222222,34.44444444,-17.77777778,35.55555556,33.33333333,2019.750171
11/25/2019,14SEAS180,29.7723333,-85.379333,1.3,8.03,0.004,0.26,0.009,,28.7054,28.7054,47979,16.1,0.4,7.97,15.55555556,25.55555556,25.55555556,21.66666667,20.55555556,21.11111111,21.11111111,20,2019.898015
