station_code,lat,lon,DateTimeStamp,Historical,ProvisionalPlus,CollMethd,REP,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,Chlorophyll-a (ug/L),F_CHLA_N,Unnamed: 20,Date
apacpnut  ,29.6079,-85.0196,6/2/2003 10:17,1,1,1,2,,0.003,<4>  ,0.061,<4>  ,0.009,<4>  ,0.223,<4>  C                   ,0.232,<4>  ,4.272,<4>  ,,6/2/2003
apacpnut  ,29.6079,-85.0196,7/8/2003 12:46,1,1,1,1,,0.001,<4>  B                   ,0.033,<4>  ,0.002,<4>  ,0.046,<4>  C                   ,0.048,<4>  ,8.117,<4>  ,,7/8/2003
apacpnut  ,29.6079,-85.0196,7/8/2003 12:48,1,1,1,2,,0.001,<4>  B                   ,0.035,<4>  ,0.002,<4>  ,0.052,<4>  C                   ,0.054,<4>  ,8.117,<4>  ,,7/8/2003
apacpnut  ,29.6079,-85.0196,8/4/2003 10:17,1,1,1,1,,0.001,<4>  B                   ,0.036,<4>  ,0.003,<4>  ,0.312,<4>  C                   ,0.315,<4>  ,3.845,<4>  ,,8/4/2003
apacpnut  ,29.6079,-85.0196,8/4/2003 10:20,1,1,1,2,,0.001,<4>  B                   ,0.034,<4>  ,0.003,<4>  ,0.226,<4>  C                   ,0.229,<4>  ,3.845,<4>  ,,8/4/2003
apacpnut  ,29.6079,-85.0196,9/9/2003 12:11,1,1,1,1,,0.002,<4>  ,0.014,<4>  ,0.005,<4>  ,0.141,<4>  C                   ,0.146,<4>  ,8.544,<4>  ,,9/9/2003
apacpnut  ,29.6079,-85.0196,9/9/2003 12:13,1,1,1,2,,0.003,<4>  ,0.014,<4>  ,0.005,<4>  ,0.136,<4>  C                   ,0.141,<4>  ,8.544,<4>  ,,9/9/2003
apacpnut  ,29.6079,-85.0196,10/7/2003 12:47,1,1,1,1,,0.004,<4>  ,0.105,<4>  ,0.002,<4>  ,0.011,<4>  C                   ,0.013,<4>  ,1.282,<4>  ,,10/7/2003
apacpnut  ,29.6079,-85.0196,10/7/2003 12:50,1,1,1,2,,0.005,<4>  ,0.144,<4>  ,0.002,<4>  ,0.03,<4>  C                   ,0.032,<4>  ,1.282,<4>  ,,10/7/2003
apacpnut  ,29.6079,-85.0196,11/5/2003 9:37,1,1,1,1,,0.003,<4>  ,0.017,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.029,<4>  ,1.709,<4>  ,,11/5/2003
apacpnut  ,29.6079,-85.0196,11/5/2003 9:40,1,1,1,2,,0.004,<4>  ,0.017,<4>  ,0.002,<4>  ,0.026,<4>  C                   ,0.028,<4>  ,1.282,<4>  ,,11/5/2003
apacpnut  ,29.6079,-85.0196,12/8/2003 10:55,1,1,1,1,,0.002,<4>  ,0.004,<4>  B                   ,0.002,<4>  ,0.169,<4>  C                   ,0.171,<4>  ,2.136,<4>  ,,12/8/2003
apacpnut  ,29.6079,-85.0196,12/8/2003 11:00,1,1,1,2,,0.001,<4>  ,0.004,<4>  B                   ,0.002,<4>  ,0.185,<4>  C                   ,0.187,<4>  ,2.136,<4>  ,,12/8/2003
apacpnut  ,29.6079,-85.0196,1/8/2004 10:50,1,1,1,1,,0.001,<4>  B                   ,0.005,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.019,<4>  ,1.3,<4>  ,,1/8/2004
apacpnut  ,29.6079,-85.0196,1/8/2004 10:52,1,1,1,2,,0.001,<4>  B                   ,0.008,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.016,<4>  ,0.8,<4>  ,,1/8/2004
apacpnut  ,29.6079,-85.0196,2/9/2004 11:55,1,1,1,1,,0.001,<4>  ,0.004,<4>  ,0.002,<4>  ,0.075,<4>  C                   ,0.077,<4>  ,2.6,<4>  ,,2/9/2004
apacpnut  ,29.6079,-85.0196,2/9/2004 12:00,1,1,1,2,,0.001,<4>  B                   ,0.006,<4>  ,0.002,<4>  ,0.082,<4>  C                   ,0.084,<4>  ,2.6,<4>  ,,2/9/2004
apacpnut  ,29.6079,-85.0196,3/9/2004 11:10,1,1,1,1,,0.002,<4>  ,0.027,<4>  ,0.003,<4>  ,0.286,<4>  C                   ,0.289,<4>  ,2.1,<4>  ,,3/9/2004
apacpnut  ,29.6079,-85.0196,3/9/2004 11:12,1,1,1,2,,0.002,<4>  ,0.034,<4>  ,0.003,<4>  ,0.282,<4>  C                   ,0.285,<4>  ,1.7,<4>  ,,3/9/2004
apacpnut  ,29.6079,-85.0196,4/5/2004 9:50,1,1,1,1,,0.001,<4>  ,0.02,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.103,<4>  ,2.6,<4>  ,,4/5/2004
apacpnut  ,29.6079,-85.0196,4/5/2004 9:55,1,1,1,2,,0.001,<4>  ,0.021,<4>  ,0.002,<4>  ,0.097,<4>  C                   ,0.099,<4>  ,2.6,<4>  ,,4/5/2004
apacpnut  ,29.6079,-85.0196,5/4/2004 10:05,1,1,1,1,,0.006,<4>  ,0.084,<4>  ,0.005,<4>  ,0.088,<4>  C                   ,0.093,<4>  ,3.8,<4>  ,,5/4/2004
apacpnut  ,29.6079,-85.0196,5/4/2004 10:07,1,1,1,2,,0.008,<4>  ,0.087,<4>  ,0.004,<4>  ,0.09,<4>  C                   ,0.094,<4>  ,3.4,<4>  ,,5/4/2004
apacpnut  ,29.6079,-85.0196,6/7/2004 9:16,1,1,1,1,,0.005,<4>  ,0.059,<4>  ,0.004,<4>  ,0.038,<4>  C                   ,0.042,<4>  ,2.1,<4>  ,,6/7/2004
apacpnut  ,29.6079,-85.0196,6/7/2004 9:18,1,1,1,2,,0.008,<4>  ,0.06,<4>  ,0.004,<4>  ,0.035,<4>  C                   ,0.039,<4>  ,2.1,<4>  ,,6/7/2004
apacpnut  ,29.6079,-85.0196,7/6/2004 8:55,1,1,1,1,,0.001,<4>  B                   ,0.056,<4>  ,0.006,<4>  ,0.062,<4>  C                   ,0.068,<4>  ,4.5,<4>  ,,7/6/2004
apacpnut  ,29.6079,-85.0196,7/6/2004 9:00,1,1,1,2,,0.001,<4>  B                   ,0.06,<4>  ,0.006,<4>  ,0.06,<4>  C                   ,0.066,<4>  ,3.8,<4>  ,,7/6/2004
apacpnut  ,29.6079,-85.0196,8/2/2004 12:40,1,1,1,1,,0.001,<4>  B                   ,0.014,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.021,<4>  ,5.8,<4>  ,,8/2/2004
apacpnut  ,29.6079,-85.0196,8/2/2004 12:42,1,1,1,2,,0.001,<4>  B                   ,0.006,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.026,<4>  ,6.4,<4>  ,,8/2/2004
apacpnut  ,29.6079,-85.0196,9/8/2004 14:05,1,1,1,1,,0.002,<4>  ,0.048,<4>  ,0.011,<4>  ,0.101,<4>  C                   ,0.112,<4>  ,32,<4>  ,,9/8/2004
apacpnut  ,29.6079,-85.0196,9/8/2004 14:10,1,1,1,2,,0.004,<4>  ,0.045,<4>  ,0.013,<4>  ,0.118,<4>  C                   ,0.131,<4>  ,2.6,<4>  ,,9/8/2004
apacpnut  ,29.6079,-85.0196,10/4/2004 10:07,1,1,1,1,,,<4>  D                   ,0.046,<4>  ,0.01,<4>  ,0.044,<4>  C                   ,0.054,<4>  ,4.3,<4>  ,,10/4/2004
apacpnut  ,29.6079,-85.0196,10/4/2004 10:10,1,1,1,2,,,<4>  D                   ,0.05,<4>  ,0.013,<4>  ,0.042,<4>  C                   ,0.055,<4>  ,4.3,<4>  ,,10/4/2004
apacpnut  ,29.6079,-85.0196,11/8/2004 10:15,1,1,1,1,,0.002,<4>  ,0.016,<4>  ,0.01,<4>  ,0.182,<4>  C                   ,0.192,<4>  ,0.5,<4>  B                   ,,11/8/2004
apacpnut  ,29.6079,-85.0196,11/8/2004 10:18,1,1,1,2,,0.002,<4>  ,0.02,<4>  ,0.013,<4>  ,0.18,<4>  C                   ,0.193,<4>  ,0.8,<4>  ,,11/8/2004
apacpnut  ,29.6079,-85.0196,11/30/2004 12:01,1,1,1,1,,0.005,<4>  ,0.017,<4>  ,0.005,<4>  ,0.039,<4>  C                   ,0.044,<4>  ,0.5,<4>  B                   ,,11/30/2004
apacpnut  ,29.6079,-85.0196,11/30/2004 12:03,1,1,1,2,,0.009,<4>  ,0.02,<4>  ,0.005,<4>  ,0.037,<4>  C                   ,0.042,<4>  ,0.8,<4>  ,,11/30/2004
apacpnut  ,29.6079,-85.0196,1/4/2005 10:46,1,1,1,1,,0.004,<4>  ,0.031,<4>  ,0.002,<4>  ,0.014,<4>  C                   ,0.016,<4>  ,1.92,<4>  ,,1/4/2005
apacpnut  ,29.6079,-85.0196,1/4/2005 10:49,1,1,1,2,,0.004,<4>  ,0.024,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.019,<4>  ,1.28,<4>  ,,1/4/2005
apacpnut  ,29.6079,-85.0196,2/7/2005 11:17,1,1,1,1,,0.001,<4>  ,0.019,<4>  ,0.012,<4>  ,,<4>  B - C               ,0.016,<4>  ,1.71,<4>  ,,2/7/2005
apacpnut  ,29.6079,-85.0196,2/7/2005 11:19,1,1,1,2,,0.001,<4>  ,0.018,<4>  ,0.012,<4>  ,0.008,<4>  C                   ,0.02,<4>  ,1.28,<4>  ,,2/7/2005
apacpnut  ,29.6079,-85.0196,3/2/2005 12:55,1,1,1,1,,0.001,<4>  ,0.004,<4>  ,0.024,<4>  ,0.184,<4>  C                   ,0.208,<4>  ,0.98,<4>  ,,3/2/2005
apacpnut  ,29.6079,-85.0196,3/2/2005 12:58,1,1,1,2,,0.001,<4>  ,0.009,<4>  ,0.018,<4>  ,0.18,<4>  C                   ,0.198,<4>  ,0.5,<4>  B                   ,,3/2/2005
apacpnut  ,29.6079,-85.0196,4/4/2005 11:50,1,1,1,1,,0.005,<4>  ,0.046,<4>  ,0.024,<4>  ,0.252,<4>  C                   ,0.276,<4>  ,1.22,<4>  ,,4/4/2005
apacpnut  ,29.6079,-85.0196,4/4/2005 11:52,1,1,1,2,,0.005,<4>  ,0.047,<4>  ,0.024,<4>  ,0.238,<4>  C                   ,0.262,<4>  ,0.96,<4>  ,,4/4/2005
apacpnut  ,29.6079,-85.0196,5/2/2005 10:45,1,1,1,1,,0.005,<4>  ,0.031,<4>  ,0.01,<4>  ,0.222,<4>  C                   ,0.232,<4>  ,1.92,<4>  ,,5/2/2005
apacpnut  ,29.6079,-85.0196,5/2/2005 10:47,1,1,1,2,,0.004,<4>  ,0.03,<4>  ,0.009,<4>  ,0.235,<4>  C                   ,0.244,<4>  ,1.73,<4>  ,,5/2/2005
apacpnut  ,29.6079,-85.0196,6/6/2005 10:08,1,1,1,1,,0.003,<4>  ,0.021,<4>  ,0.008,<4>  ,0.279,<4>  C                   ,0.287,<4>  ,1.28,<4>  ,,6/6/2005
apacpnut  ,29.6079,-85.0196,6/6/2005 10:10,1,1,1,2,,0.004,<4>  ,0.022,<4>  ,0.008,<4>  ,0.282,<4>  C                   ,0.29,<4>  ,2.13,<4>  ,,6/6/2005
apacpnut  ,29.6079,-85.0196,8/9/2005 9:28,1,1,1,1,,0.002,<4>  ,0.031,<4>  ,0.003,<4>  ,0.147,<4>  C                   ,0.15,<4>  ,1.71,<4>  ,,8/9/2005
apacpnut  ,29.6079,-85.0196,8/9/2005 9:31,1,1,1,2,,0.002,<4>  ,0.034,<4>  ,0.003,<4>  ,0.137,<4>  C                   ,0.14,<4>  ,1.28,<4>  ,,8/9/2005
apacpnut  ,29.6079,-85.0196,9/8/2005 9:25,1,1,1,1,,0.001,<4>  ,0.079,<4>  ,0.004,<4>  S                   ,,<4>  B - C - N - S       ,0.007,<4>  B - S               ,2.56,<4>  ,,9/8/2005
apacpnut  ,29.6079,-85.0196,9/8/2005 9:28,1,1,1,2,,0.001,<4>  ,0.086,<4>  ,0.004,<4>  S                   ,,<4>  B - C - N - S       ,0.007,<4>  B - S               ,2.56,<4>  ,,9/8/2005
apacpnut  ,29.6079,-85.0196,10/3/2005 9:25,1,1,1,1,,0.001,<4>  ,0.04,<4>  ,0.003,<4>  ,,<4>  B - C               ,0.007,<4>  B                   ,2.56,<4>  ,,10/3/2005
apacpnut  ,29.6079,-85.0196,10/3/2005 9:27,1,1,1,2,,0.001,<4>  ,0.042,<4>  ,0.003,<4>  ,0.012,<4>  C                   ,0.015,<4>  ,2.56,<4>  ,,10/3/2005
apacpnut  ,29.6079,-85.0196,11/8/2005 11:10,1,1,1,1,,0.002,<4>  ,0.009,<4>  ,0.002,<4>  ,0.099,<4>  C                   ,0.101,<4>  ,1.28,<4>  ,,11/8/2005
apacpnut  ,29.6079,-85.0196,11/8/2005 11:12,1,1,1,2,,0.002,<4>  ,0.008,<4>  ,0.002,<4>  ,0.036,<4>  C                   ,0.038,<4>  ,0.85,<4>  ,,11/8/2005
apacpnut  ,29.6079,-85.0196,11/29/2005 13:45,1,1,1,1,,0.001,<4>  B                   ,0.004,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.007,<4>  B                   ,1.28,<4>  ,,11/29/2005
apacpnut  ,29.6079,-85.0196,11/29/2005 13:47,1,1,1,2,,0.001,<4>  B                   ,0.004,<4>  ,0.002,<4>  B                   ,,<4>  B - C               ,0.007,<4>  B                   ,1.28,<4>  ,,11/29/2005
apacpnut  ,29.6079,-85.0196,1/3/2006 12:01,1,1,1,1,,0.001,<4>  ,0.018,<4>  ,0.003,<4>  ,0.284,<4>  C                   ,0.287,<4>  ,5.25,<4>  ,,1/3/2006
apacpnut  ,29.6079,-85.0196,1/3/2006 12:03,1,1,1,2,,0.002,<4>  ,0.016,<4>  ,0.004,<4>  ,0.292,<4>  C                   ,0.296,<4>  ,4.23,<4>  ,,1/3/2006
apacpnut  ,29.6079,-85.0196,2/1/2006 11:15,1,1,1,1,,0.002,<4>  ,0.021,<4>  ,0.004,<4>  ,0.313,<4>  C                   ,0.317,<4>  ,3.93,<4>  ,,2/1/2006
apacpnut  ,29.6079,-85.0196,2/1/2006 11:20,1,1,1,2,,0.002,<4>  ,0.022,<4>  ,0.004,<4>  ,0.29,<4>  C                   ,0.294,<4>  ,3.84,<4>  ,,2/1/2006
apacpnut  ,29.6079,-85.0196,3/1/2006 12:16,1,1,1,1,,0.002,<4>  ,0.036,<4>  ,0.004,<4>  ,0.249,<4>  C                   ,0.253,<4>  ,2.13,<4>  ,,3/1/2006
apacpnut  ,29.6079,-85.0196,3/1/2006 12:18,1,1,1,2,,0.001,<4>  ,0.035,<4>  ,0.004,<4>  ,0.246,<4>  C                   ,0.25,<4>  ,1.79,<4>  ,,3/1/2006
apacpnut  ,29.6079,-85.0196,4/4/2006 11:27,1,1,1,1,,0.002,<4>  ,0.083,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.198,<4>  ,4.68,<4>  ,,4/4/2006
apacpnut  ,29.6079,-85.0196,4/4/2006 11:29,1,1,1,2,,0.002,<4>  ,0.083,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.224,<4>  ,4.74,<4>  ,,4/4/2006
apacpnut  ,29.6079,-85.0196,5/2/2006 11:10,1,1,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  K                   ,,<4>  C - K               ,,<4>  M                   ,,<4>  M                   ,,5/2/2006
apacpnut  ,29.6079,-85.0196,5/2/2006 11:12,1,1,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  K                   ,,<4>  C - K               ,,<4>  M                   ,,<4>  M                   ,,5/2/2006
apacpnut  ,29.6079,-85.0196,6/7/2006 11:07,1,1,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  K                   ,,<4>  C - K               ,,<4>  M                   ,,<4>  M                   ,,6/7/2006
apacpnut  ,29.6079,-85.0196,6/7/2006 11:10,1,1,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  K                   ,,<4>  C - K               ,,<4>  M                   ,,<4>  M                   ,,6/7/2006
apacpnut  ,29.6079,-85.0196,7/5/2006 9:28,1,1,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  K                   ,,<4>  C - K               ,,<4>  M                   ,,<4>  M                   ,,7/5/2006
apacpnut  ,29.6079,-85.0196,7/5/2006 9:30,1,1,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  K                   ,,<4>  C - K               ,,<4>  M                   ,,<4>  M                   ,,7/5/2006
apacpnut  ,29.6079,-85.0196,8/8/2006 9:50,1,1,1,1,,0.006,<4>  ,0.01,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.007,<4>  B                   ,10.55,<4>  ,,8/8/2006
apacpnut  ,29.6079,-85.0196,8/8/2006 9:55,1,1,1,2,,0.006,<4>  ,0.01,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.007,<4>  B                   ,10.3,<4>  ,,8/8/2006
apacpnut  ,29.6079,-85.0196,9/6/2006 9:30,1,1,1,1,,0.002,<4>  ,0.05,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.019,<4>  ,7.82,<4>  ,,9/6/2006
apacpnut  ,29.6079,-85.0196,9/6/2006 9:34,1,1,1,2,,0.002,<4>  ,0.051,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.021,<4>  ,6.88,<4>  ,,9/6/2006
apacpnut  ,29.6079,-85.0196,10/3/2006 10:29,1,1,1,1,,0.006,<4>  ,0.046,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.015,<4>  ,2.31,<4>  ,,10/3/2006
apacpnut  ,29.6079,-85.0196,10/3/2006 10:31,1,1,1,2,,0.007,<4>  ,0.034,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.012,<4>  ,2.73,<4>  ,,10/3/2006
apacpnut  ,29.6079,-85.0196,11/1/2006 9:47,1,1,1,1,,0.009,<4>  ,0.03,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.018,<4>  ,1.62,<4>  ,,11/1/2006
apacpnut  ,29.6079,-85.0196,11/1/2006 9:49,1,1,1,2,,0.009,<4>  ,0.03,<4>  ,,<4>  K                   ,,<4>  C - K               ,0.013,<4>  ,1.5,<4>  ,,11/1/2006
apacpnut  ,29.6079,-85.0196,11/28/2006 12:29,1,1,1,1,,0.001,<4>  B                   ,0.004,<4>  B                   ,,<4>  K                   ,,<4>  C - K               ,0.007,<4>  B                   ,4.91,<4>  ,,11/28/2006
apacpnut  ,29.6079,-85.0196,11/28/2006 12:31,1,1,1,2,,0.001,<4>  ,0.004,<4>  B                   ,,<4>  K                   ,,<4>  C - K               ,0.007,<4>  B                   ,4.96,<4>  ,,11/28/2006
apacpnut  ,29.6079,-85.0196,1/9/2007 12:34,1,1,1,1,,0.007,<0>  ,0.045,<0>  ,,,,,0.166,<0>  ,4.7,<0>  ,,1/9/2007
apacpnut  ,29.6079,-85.0196,1/9/2007 12:36,1,1,1,2,,0.006,<0>  ,0.048,<0>  ,,,,,0.166,<0>  ,4.2,<0>  ,,1/9/2007
apacpnut  ,29.6079,-85.0196,2/5/2007 10:34,1,1,1,1,,0.002,<0>  ,0.011,<0>  ,,,,,0.152,<0>  ,1.8,<0>  ,,2/5/2007
apacpnut  ,29.6079,-85.0196,2/5/2007 10:36,1,1,1,2,,0.002,<0>  ,0.008,<0>  ,,,,,0.159,<0>  ,4.3,<0>  ,,2/5/2007
apacpnut  ,29.6079,-85.0196,3/6/2007 11:28,1,1,1,1,,0.002,<-4> [SBL] ,0.027,<0>  ,,,,,0.287,<0>  ,2.7,<0>  ,,3/6/2007
apacpnut  ,29.6079,-85.0196,3/6/2007 11:32,1,1,1,2,,0.002,<-4> [SBL] ,0.026,<0>  ,,,,,0.281,<0>  ,2.9,<0>  ,,3/6/2007
apacpnut  ,29.6079,-85.0196,3/6/2007 11:35,1,1,1,3,,0.003,<0>  ,0.03,<0>  ,,,,,0.29,<0>  ,3.1,<0>  ,,3/6/2007
apacpnut  ,29.6079,-85.0196,4/9/2007 9:44,1,1,1,1,,0.002,<-4> [SBL] ,0.033,<0>  ,,,,,0.113,<0>  ,3.8,<0>  ,,4/9/2007
apacpnut  ,29.6079,-85.0196,5/8/2007 8:30,1,1,1,1,,0.003,<0>  ,0.091,<0>  ,,,,,0.01,<0>  ,8.5,<0>  ,,5/8/2007
apacpnut  ,29.6079,-85.0196,6/5/2007 8:11,1,1,1,1,,0.009,<0>  ,0.075,<0>  ,,,,,0.052,<0>  ,2.9,<0>  ,,6/5/2007
apacpnut  ,29.6079,-85.0196,7/10/2007 8:00,1,1,1,1,,0.002,<-4> [SBL] ,0.059,<0>  ,,,,,0.018,<0>  ,6.5,<0>  ,,7/10/2007
apacpnut  ,29.6079,-85.0196,8/7/2007 8:12,1,1,1,1,,0.002,<-4> [SBL] ,0.067,<0>  ,,,,,0.182,<0>  ,8,<0>  ,,8/7/2007
apacpnut  ,29.6079,-85.0196,9/10/2007 10:23,1,1,1,1,,0.006,<0>  ,0.011,<0>  ,,,,,0.002,<0>  ,13.6,<0>  ,,9/10/2007
apacpnut  ,29.6079,-85.0196,10/9/2007 9:08,1,1,1,1,,0.006,<0>  ,0.027,<0>  ,,,,,0.014,<0>  ,4.2,<0>  ,,10/9/2007
