Act Date,Station ID,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,Chlorophyll-a (ug/L),DO(mg/l),"Nitrogen, mixed forms (NH3)+(NH4)+organic+(NO2)+(NO3)",Salinity(ppt),Secchi Depth(m),Specific conductance,Temperature (deg cels),Turbidity(NTU),pH,ATemp_max,ATemp_max_1dlag,ATemp_max_2dlag,ATemp_max_3dlag,ATemp_max_4dlag,ATemp_max_5dlag,ATemp_max_6dlag,ATemp_max_7dlag,Julian Year
9/21/2007,1110-A,30,9,9.9864,85,33,26.6256,1.1,7.82,,27.24,0.75,42.43,25.41,2.8,7.5,27.22222222,31.11111111,32.22222222,32.77777778,36.11111111,32.22222222,29.44444444,31.11111111,2007.720055
11/6/2007,1110-B,30,9,9.9864,85,33,26.6256,3.2,6.62,,26.91,,41.97,23.33,2,7.6,26.11111111,23.33333333,25.55555556,25.55555556,27.22222222,26.66666667,23.33333333,23.33333333,2007.845996
1/3/2008,1110-C,30,8,3.264,85,33,55.404,2.1,11.88,,28.51,1.5,44.4,9.86,2.4,7.77,5,13.33333333,20.55555556,,,,,,2008.005476
5/19/2008,1110-C,30,8,3.264,85,33,55.404,1.1,6.77,,29.58,0.5,48.4,28,2,7.75,25.55555556,25,25.55555556,27.22222222,27.22222222,28.88888889,28.88888889,29.44444444,2008.380561
1/3/2008,1110-D,30,7,39,85,33,45.828,4.3,12.01,,30.01,,46.49,9.95,2.2,7.85,5,13.33333333,20.55555556,,,,,,2008.005476
1/8/2008,1110-D,30,7,39,85,33,45.828,1.1,8.79,,29.26,1.5,45.13,17.47,5.6,7.75,25,21.66666667,21.11111111,12.77777778,7.777777778,5,13.33333333,20.55555556,2008.019165
6/22/2007,1127-A,30,9,9.108,85,29,36.42,1.1,5.55,,0.01,,0.028,21.2,5.1,5.95,35,31.66666667,31.11111111,32.22222222,31.66666667,33.88888889,32.22222222,32.22222222,2007.47091
7/6/2007,1127-A,30,9,9.108,85,29,36.42,1.1,6.66,,0.01,,0.034,21.88,40,4.76,32.22222222,30.55555556,31.11111111,32.77777778,33.88888889,33.33333333,33.33333333,33.88888889,2007.50924
8/1/2007,1127-A,30,9,9.108,85,29,36.42,1.1,5.66,,0.01,,0.029,22.3,0.77,5.6,32.22222222,,32.77777778,32.77777778,32.77777778,32.22222222,31.66666667,30.55555556,2007.580424
8/22/2007,1127-A,30,9,9.108,85,29,36.42,1.1,5.75,,0.01,,0.029,23.02,0.58,6.65,36.66666667,35,33.88888889,34.44444444,33.88888889,35,35.55555556,37.77777778,2007.637919
1/9/2008,1128-A,30,11,41.7624,85,41,40.884,3.2,7.76,,30.7,1.25,47.23,15.9,2.4,7.77,24.44444444,25,21.66666667,21.11111111,12.77777778,7.777777778,5,13.33333333,2008.021903
6/21/2007,1128-A,30,11,41.7624,85,41,40.884,12,4.52,,30.81,0.25,47.56,30,11,7.29,31.66666667,31.11111111,32.22222222,31.66666667,33.88888889,32.22222222,32.22222222,32.22222222,2007.468172
7/5/2007,1128-A,30,11,41.7624,85,41,40.884,22,5.67,,31.62,0.5,48.69,31.01,47,7.42,30.55555556,31.11111111,32.77777778,33.88888889,33.33333333,33.33333333,33.88888889,32.22222222,2007.506502
8/30/2007,1128-A,30,11,41.7624,85,41,40.884,20,3.61,,17.2,0.5,28.15,32.05,2.6,6.84,35.55555556,34.44444444,33.88888889,32.22222222,35,35,32.22222222,38.88888889,2007.659822
9/13/2007,1128-A,30,11,41.7624,85,41,40.884,4.3,2.55,,26.21,0.25,41.17,30.09,5.7,6.66,31.11111111,30,33.88888889,32.77777778,33.88888889,35,33.88888889,35,2007.698152
9/21/2007,1128-A,30,11,41.7624,85,41,40.884,1.1,4.97,,31.31,0.25,48.27,27.32,7.5,7.26,27.22222222,31.11111111,32.22222222,32.77777778,36.11111111,32.22222222,29.44444444,31.11111111,2007.720055
9/7/2007,1128-A,30,11,41.7624,85,41,40.884,3.2,2.92,,32.01,0.25,49.22,30.61,8.3,7.57,33.88888889,35,34.44444444,32.77777778,33.33333333,33.33333333,32.22222222,34.44444444,2007.681725
4/10/2008,1128-B,30,12,10.152,85,42,1.332,3.2,4.85,,14.7,,24.21,23.48,4,7.51,25,26.11111111,26.66666667,22.77777778,26.11111111,26.11111111,26.11111111,26.11111111,2008.273785
1/9/2008,1128-D,30,11,55.176,85,42,21.132,3.2,8.12,,31.97,,48.85,18.16,1.7,8.08,24.44444444,25,21.66666667,21.11111111,12.77777778,7.777777778,5,13.33333333,2008.021903
3/13/2008,1128-D,30,11,55.176,85,42,21.132,1.1,7.98,,15.62,,25.51,17.82,3.1,7.07,17.77777778,17.77777778,21.66666667,18.88888889,12.22222222,21.66666667,24.44444444,14.44444444,2008.197125
4/10/2008,1128-D,30,11,55.176,85,42,21.132,1.1,7.58,,21.36,,33.97,21.65,4.6,7.64,25,26.11111111,26.66666667,22.77777778,26.11111111,26.11111111,26.11111111,26.11111111,2008.273785
1/9/2008,1128-E,30,11,46.032,85,42,1.404,5.3,7.95,,32.1,,49.23,15.68,2.3,7.99,24.44444444,25,21.66666667,21.11111111,12.77777778,7.777777778,5,13.33333333,2008.021903
6/21/2007,1131-A,30,11,5.6364,85,42,54.0396,1.1,4.24,,0.92,0.5,1.72,28.78,2.9,6.84,31.66666667,31.11111111,32.22222222,31.66666667,33.88888889,32.22222222,32.22222222,32.22222222,2007.468172
7/5/2007,1131-A,30,11,5.6364,85,42,54.0396,2.1,2.26,,16.12,,25.17,28.53,5.5,6.89,30.55555556,31.11111111,32.77777778,33.88888889,33.33333333,33.33333333,33.88888889,32.22222222,2007.506502
8/2/2007,1131-A,30,11,5.6364,85,42,54.0396,3.2,0.91,,27.51,0.25,42.94,29.26,9.7,7.09,30.55555556,32.22222222,,32.77777778,32.77777778,32.77777778,32.22222222,31.66666667,2007.583162
9/21/2007,1131-A,30,11,5.6364,85,42,54.0396,2.1,3.6,,24.09,,37.97,25.58,4.4,6.85,27.22222222,31.11111111,32.22222222,32.77777778,36.11111111,32.22222222,29.44444444,31.11111111,2007.720055
8/17/2007,1131-B,30,10,2.6616,85,40,55.2108,1.1,2.89,,0.07,0.25,0.156,29.53,1.2,6.49,35,35.55555556,37.77777778,34.44444444,33.88888889,33.88888889,33.33333333,33.88888889,2007.62423
8/30/2007,1131-B,30,10,2.6616,85,40,55.2108,12,2.42,,0.07,,0.156,29.07,0.67,7,35.55555556,34.44444444,33.88888889,32.22222222,35,35,32.22222222,38.88888889,2007.659822
1/24/2008,1131-C,30,11,24.468,85,42,55.764,3.2,9.37,,11.84,,19.92,12.07,5.8,7.09,15,15.55555556,15,8.333333333,9.444444444,11.66666667,17.77777778,17.77777778,2008.062971
2/13/2008,1131-C,30,11,24.468,85,42,55.764,1.1,7.25,,24.85,,38.97,16.93,8.6,5.99,21.66666667,22.77777778,22.77777778,21.11111111,20,17.77777778,23.88888889,25,2008.117728
1/3/2008,1131-F,30,11,21.912,85,42,58.428,1.1,14.02,,2.94,,5.525,2.98,17,8.42,5,13.33333333,20.55555556,,,,,,2008.005476
1/31/2008,1131-F,31,11,21.912,86,42,58.428,1.1,4.99,,28.62,,42.21,13.84,7.6,5.67,,,15.55555556,17.22222222,11.11111111,11.66666667,11.66666667,15,2008.082136
11/13/2007,1131-F,32,11,21.912,87,42,58.428,1.1,4.52,,27.31,,42.39,19.2,2.1,6.81,24.44444444,23.88888889,24.44444444,23.33333333,18.88888889,16.66666667,25,26.11111111,2007.865161
4/10/2008,1131-F,33,11,21.912,88,42,58.428,4.3,4.65,,24.26,,38.15,22.99,4.4,7.5,25,26.11111111,26.66666667,22.77777778,26.11111111,26.11111111,26.11111111,26.11111111,2008.273785
6/21/2007,1136-A,30,10,3.468,85,38,42,2.1,6.79,,0.54,0.25,1.09,25.16,4.3,7.4,31.66666667,31.11111111,32.22222222,31.66666667,33.88888889,32.22222222,32.22222222,32.22222222,2007.468172
7/17/2007,1136-A,30,10,3.468,85,38,42,1.3,5.19,,0.3,,0.618,26.45,6.3,7.24,32.77777778,31.11111111,32.22222222,33.33333333,35,32.77777778,32.77777778,32.77777778,2007.539357
8/22/2007,1136-A,30,10,3.468,85,38,42,12,1.41,,20.11,0.5,32.51,33.1,4.3,7.04,36.66666667,35,33.88888889,34.44444444,33.88888889,35,35.55555556,37.77777778,2007.637919
8/30/2007,1136-A,30,10,3.468,85,38,42,2.1,6.25,,0.25,,0.514,28.18,5.5,8.28,35.55555556,34.44444444,33.88888889,32.22222222,35,35,32.22222222,38.88888889,2007.659822
1/16/2008,1136-B,30,9,26.352,85,38,36.276,1.1,6.34,,27.67,,43.01,13.84,2.3,7.67,15,14.44444444,20,21.66666667,20.55555556,24.44444444,24.44444444,24.44444444,2008.041068
1/24/2008,1136-B,30,9,26.352,85,38,36.276,9.6,7.64,,31.48,,48.28,13.89,16,7.92,15,15.55555556,15,8.333333333,9.444444444,11.66666667,17.77777778,17.77777778,2008.062971
1/3/2008,1136-B,30,9,26.352,85,38,36.276,3.2,11.82,,30.98,0.75,47.85,9.54,4.2,7.44,5,13.33333333,20.55555556,,,,,,2008.005476
1/31/2008,1136-B,30,9,26.352,85,38,36.276,3.2,7.94,,22.02,,34.93,11.15,2.3,7.07,,,15.55555556,17.22222222,11.11111111,11.66666667,11.66666667,15,2008.082136
1/9/2008,1136-B,30,9,26.352,85,38,36.276,3.2,9.01,,29.53,,45.65,17.55,1.6,7.75,24.44444444,25,21.66666667,21.11111111,12.77777778,7.777777778,5,13.33333333,2008.021903
4/10/2008,1136-B,30,9,26.352,85,38,36.276,5.3,7.41,,14.82,,24.37,22.32,4.3,7.89,25,26.11111111,26.66666667,22.77777778,26.11111111,26.11111111,26.11111111,26.11111111,2008.273785
4/30/2008,1136-B,30,9,26.352,85,38,36.276,2.1,5.97,,27.59,1,42.92,25.34,6.2,7.8,25,26.11111111,26.66666667,27.77777778,27.22222222,30,29.44444444,30.55555556,2008.328542
1/3/2008,1136-C,30,9,0.288,85,38,12.768,4.3,8.5,,33.49,1.5,51.18,11.45,2.8,7.71,5,13.33333333,20.55555556,,,,,,2008.005476
11/13/2007,1136-C,30,9,0.288,85,38,12.768,3.2,6.85,,33.4,0.75,50.79,19.82,1.6,7.77,24.44444444,23.88888889,24.44444444,23.33333333,18.88888889,16.66666667,25,26.11111111,2007.865161
1/3/2008,1136-D,30,8,41.82,85,38,0.06,5.3,7.96,,33.64,1.5,51.34,12.31,2.7,8.01,5,13.33333333,20.55555556,,,,,,2008.005476
11/13/2007,1136-D,30,8,41.82,85,38,0.06,2.1,7.07,,33.54,0.75,51,19.88,1.2,7.9,24.44444444,23.88888889,24.44444444,23.33333333,18.88888889,16.66666667,25,26.11111111,2007.865161
6/21/2007,1141-A,30,8,42.8244,85,35,8.646,4.3,0.69,,0.8,0.25,0.164,24.43,4.5,6.52,31.66666667,31.11111111,32.22222222,31.66666667,33.88888889,32.22222222,32.22222222,32.22222222,2007.468172
7/17/2007,1141-A,30,8,42.8244,85,35,8.646,41,1.09,,0.06,0.25,0.136,24.81,5.5,6.39,32.77777778,31.11111111,32.22222222,33.33333333,35,32.77777778,32.77777778,32.77777778,2007.539357
7/6/2007,1141-A,30,8,42.8244,85,35,8.646,6.4,2.71,,0.08,0.25,0.173,24.62,4.5,7.4,32.22222222,30.55555556,31.11111111,32.77777778,33.88888889,33.33333333,33.33333333,33.88888889,2007.50924
8/1/2007,1141-A,30,8,42.8244,85,35,8.646,1.3,4.22,,0.07,0.25,0.14,26.62,9.8,7.22,32.22222222,,32.77777778,32.77777778,32.77777778,32.22222222,31.66666667,30.55555556,2007.580424
8/22/2007,1141-A,30,8,42.8244,85,35,8.646,8,3.58,,0.07,,0.153,25.6,12,7.45,36.66666667,35,33.88888889,34.44444444,33.88888889,35,35.55555556,37.77777778,2007.637919
8/30/2007,1141-A,30,8,42.8244,85,35,8.646,11,2.05,,0.07,,0.15,25.19,2.6,7.03,35.55555556,34.44444444,33.88888889,32.22222222,35,35,32.22222222,38.88888889,2007.659822
1/24/2008,1141-B,30,8,18.636,85,34,28.38,2.1,8.31,,0.96,,1.373,11.18,2.8,8.02,15,15.55555556,15,8.333333333,9.444444444,11.66666667,17.77777778,17.77777778,2008.062971
11/13/2007,1141-B,30,8,18.636,85,34,28.38,3.2,6.3,,30.39,0.5,46.73,23.31,1,7.73,24.44444444,23.88888889,24.44444444,23.33333333,18.88888889,16.66666667,25,26.11111111,2007.865161
3/27/2008,1141-B,30,8,18.636,85,34,28.38,1.1,7.58,,6.24,0.5,10.42,19.67,7.5,6.96,20.55555556,16.66666667,16.66666667,23.33333333,23.33333333,22.77777778,21.11111111,25,2008.235455
5/19/2008,1141-B,30,8,18.636,85,34,28.38,1.1,4.69,,29.6,0.5,45.75,26.7,2.4,7.54,25.55555556,25,25.55555556,27.22222222,27.22222222,28.88888889,28.88888889,29.44444444,2008.380561
9/21/2007,1141-B,30,8,18.636,85,34,28.38,2.1,5.67,,7.48,0.25,48.22,26.72,35,7.48,27.22222222,31.11111111,32.22222222,32.77777778,36.11111111,32.22222222,29.44444444,31.11111111,2007.720055
11/13/2007,1141-C,30,8,10.644,85,34,22.224,2.1,6.78,,29.88,,45.99,21.04,1.6,7.75,24.44444444,23.88888889,24.44444444,23.33333333,18.88888889,16.66666667,25,26.11111111,2007.865161
2/7/2008,1141-C,30,8,10.644,85,34,22.224,2.1,7.71,,15.67,,25.57,16.2,2.5,7.4,23.88888889,25,24.44444444,16.66666667,17.22222222,17.22222222,22.22222222,,2008.1013
1/8/2008,1141-D,30,8,7.368,85,34,14.412,5.3,9.53,,28.28,,43.91,16.55,2.1,7.81,25,21.66666667,21.11111111,12.77777778,7.777777778,5,13.33333333,20.55555556,2008.019165
2/7/2008,1141-D,30,8,7.368,85,34,14.412,2.1,8.3,,10.48,1.75,17.72,13.7,2.5,7.37,23.88888889,25,24.44444444,16.66666667,17.22222222,17.22222222,22.22222222,,2008.1013
2/12/2008,1142-A,30,9,9.8208,85,32,33.3168,1.1,5.26,,0.03,,0.046,12,1.7,4.81,22.77777778,22.77777778,21.11111111,20,17.77777778,23.88888889,25,24.44444444,2008.11499
2/7/2008,1142-A,30,9,9.8208,85,32,33.3168,2.1,3.88,,0.03,,0.061,13.95,1.9,4.89,23.88888889,25,24.44444444,16.66666667,17.22222222,17.22222222,22.22222222,,2008.1013
6/21/2007,1142-A,30,9,9.8208,85,32,33.3168,40,1.55,,0.03,0.5,0.067,24.61,12,6.17,31.66666667,31.11111111,32.22222222,31.66666667,33.88888889,32.22222222,32.22222222,32.22222222,2007.468172
8/1/2007,1142-A,30,9,9.8208,85,32,33.3168,53,1.46,,0.03,0.5,0.058,25.39,4.6,5.85,32.22222222,,32.77777778,32.77777778,32.77777778,32.22222222,31.66666667,30.55555556,2007.580424
8/22/2007,1142-A,30,9,9.8208,85,32,33.3168,5.3,2.11,,0.03,0.5,0.063,25.73,1.5,6.26,36.66666667,35,33.88888889,34.44444444,33.88888889,35,35.55555556,37.77777778,2007.637919
8/31/2007,1142-A,30,9,9.8208,85,32,33.3168,51,1,,0.03,0.5,0.058,25.24,3.8,7.21,34.44444444,35.55555556,34.44444444,33.88888889,32.22222222,35,35,32.22222222,2007.66256
9/12/2007,1142-A,30,9,9.8208,85,32,33.3168,96,4.99,,0.02,0.5,0.046,24.27,6.8,5.23,30,33.88888889,32.77777778,33.88888889,35,33.88888889,35,34.44444444,2007.695414
1/16/2008,1144-A,30,9,18.0432,85,39,18.8532,3.2,8.42,,33.31,,50.78,14.69,1.8,8.01,15,14.44444444,20,21.66666667,20.55555556,24.44444444,24.44444444,24.44444444,2008.041068
1/24/2008,1144-A,30,9,18.0432,85,39,18.8532,6.4,6.73,,29.44,,45.38,15.09,1.1,7.99,15,15.55555556,15,8.333333333,9.444444444,11.66666667,17.77777778,17.77777778,2008.062971
1/31/2008,1144-A,30,9,18.0432,85,39,18.8532,6.4,8.17,,31.51,,48.35,12.95,1.8,6.6,,,15.55555556,17.22222222,11.11111111,11.66666667,11.66666667,15,2008.082136
1/9/2008,1144-A,30,9,18.0432,85,39,18.8532,3.2,8.1,,34.73,,52.59,19.05,4.8,8.13,24.44444444,25,21.66666667,21.11111111,12.77777778,7.777777778,5,13.33333333,2008.021903
2/13/2008,1144-A,30,9,18.0432,85,39,18.8532,1.1,7.72,,28.85,,44.48,17.01,4.7,6.54,21.66666667,22.77777778,22.77777778,21.11111111,20,17.77777778,23.88888889,25,2008.117728
2/7/2008,1144-A,30,9,18.0432,85,39,18.8532,4.3,7.1,,31.82,,48.62,18.37,1.9,7.04,23.88888889,25,24.44444444,16.66666667,17.22222222,17.22222222,22.22222222,,2008.1013
3/13/2008,1144-A,30,9,18.0432,85,39,18.8532,2.1,8.26,,17.71,1.25,28.57,19.56,1.7,6.8,17.77777778,17.77777778,21.66666667,18.88888889,12.22222222,21.66666667,24.44444444,14.44444444,2008.197125
6/21/2007,1144-A,30,9,18.0432,85,39,18.8532,5.3,5.26,,33.69,,51.53,30.28,2.5,7.76,31.66666667,31.11111111,32.22222222,31.66666667,33.88888889,32.22222222,32.22222222,32.22222222,2007.468172
7/17/2007,1144-A,30,9,18.0432,85,39,18.8532,2.1,5.54,,24.01,0.75,37.97,29.89,8.6,7.67,32.77777778,31.11111111,32.22222222,33.33333333,35,32.77777778,32.77777778,32.77777778,2007.539357
8/22/2007,1144-A,30,9,18.0432,85,39,18.8532,11,4.71,,34.44,,52.69,33.32,3.7,7.95,36.66666667,35,33.88888889,34.44444444,33.88888889,35,35.55555556,37.77777778,2007.637919
8/30/2007,1144-A,30,9,18.0432,85,39,18.8532,14,5.63,,34.08,,52.17,32.64,2.3,7.86,35.55555556,34.44444444,33.88888889,32.22222222,35,35,32.22222222,38.88888889,2007.659822
9/13/2007,1144-A,30,9,18.0432,85,39,18.8532,12,3.7,,34.63,0.25,52.78,30.53,3.8,7.85,31.11111111,30,33.88888889,32.77777778,33.88888889,35,33.88888889,35,2007.698152
9/21/2007,1144-A,30,9,18.0432,85,39,18.8532,1.1,6.2,,35.03,0.25,53.15,26.22,21,7.6,27.22222222,31.11111111,32.22222222,32.77777778,36.11111111,32.22222222,29.44444444,31.11111111,2007.720055
4/10/2008,1144-B,30,9,10.3018,85,39,33.2377,4.3,5.98,,27.11,,42.17,22.09,1.4,7.82,25,26.11111111,26.66666667,22.77777778,26.11111111,26.11111111,26.11111111,26.11111111,2008.273785
4/10/2008,1144-C,30,9,14.184,85,39,6.984,2.1,4.59,,27.81,,43.17,23.95,3.5,7.68,25,26.11111111,26.66666667,22.77777778,26.11111111,26.11111111,26.11111111,26.11111111,2008.273785
2/13/2008,1170-E,30,3,58.752,85,36,5.436,1.1,7.61,,31.7,,48.99,17.1,0.75,7.48,21.66666667,22.77777778,22.77777778,21.11111111,20,17.77777778,23.88888889,25,2008.117728
3/20/2008,1170-E,30,3,58.752,85,36,5.436,3.2,7.44,,28.61,,44.21,20.27,5.2,7.48,25,25,26.11111111,27.77777778,23.88888889,20.55555556,20,17.77777778,2008.21629
2/13/2008,1170-F,30,3,40.428,85,35,48.732,1.1,7.54,,26.69,,41.55,16.1,2.5,7.25,21.66666667,22.77777778,22.77777778,21.11111111,20,17.77777778,23.88888889,25,2008.117728
2/29/2008,1170-F,30,3,40.428,85,35,48.732,1.1,8.32,,20.22,0.75,32.25,14.26,5.7,5.63,15,11.11111111,23.88888889,22.22222222,23.33333333,18.33333333,18.33333333,20.55555556,2008.161533
3/14/2008,1170-F,31,3,40.428,86,35,48.732,3.2,6.68,,22.52,1.25,35.62,17.18,4.1,7.68,20,17.77777778,17.77777778,21.66666667,18.88888889,12.22222222,21.66666667,24.44444444,2008.199863
3/20/2008,1170-F,32,3,40.428,87,35,48.732,1.1,7,,3.92,,7.068,17.94,8.3,6.36,25,25,26.11111111,27.77777778,23.88888889,20.55555556,20,17.77777778,2008.21629
3/14/2008,1170-G,30,3,57.9838,85,36,18.3589,3.2,8.63,,20.9,0.75,33.29,17.19,6,8,20,17.77777778,17.77777778,21.66666667,18.88888889,12.22222222,21.66666667,24.44444444,2008.199863
3/20/2008,1170-G,30,3,57.9838,85,36,18.3589,1.1,9.56,,28.23,,43.72,21.14,1.4,8.11,25,25,26.11111111,27.77777778,23.88888889,20.55555556,20,17.77777778,2008.21629
8/16/2005,FLW200515,30,3,36,85,30,36,3.86,2,453.3,7.3,0.7,12.8,29.6,3.46,7.4,33.33333333,33.33333333,32.77777778,32.77777778,32.77777778,32.77777778,31.66666667,31.11111111,2005.621492
8/15/2006,FLW200648,30,15,36,85,47,24,7.255,5.5,220.4,29.9,1.2,45.8,30.4,2.51,8,35.55555556,35.55555556,33.88888889,33.88888889,33.88888889,32.77777778,33.88888889,36.11111111,2006.618754
7/20/2001,STA200102,30,15,36,85,49,12,14.76,5.1,172.8,25.8,0.7,40.3,29.6,4.11,7.9,33.33333333,31.66666667,32.22222222,32.22222222,32.77777778,32.77777778,32.22222222,32.77777778,2001.54757
7/18/2001,STA200103,30,16,12,85,44,24,7.07,4.8,323,26.5,0.8,40.3,28.8,4.76,7.9,32.22222222,32.22222222,32.77777778,32.77777778,32.22222222,32.77777778,31.11111111,28.88888889,2001.542094
7/19/2001,STA200104,30,16,12,85,44,24,3.1,7.5,216,0.1,2.2,0.1,27.8,1.26,7,31.66666667,32.22222222,32.22222222,32.77777778,32.77777778,32.22222222,32.77777778,31.11111111,2001.544832
7/17/2001,STA200106,30,14,24,85,49,48,19.62,5.5,194.7,24.7,0.5,39.1,29.2,7.61,8.1,32.22222222,32.77777778,32.77777778,32.22222222,32.77777778,31.11111111,28.88888889,33.33333333,2001.539357
7/18/2001,STA200107,30,15,36,85,43,48,2.05,4.3,276.1,25.2,0.6,39.4,27.4,2.21,8,32.22222222,32.22222222,32.77777778,32.77777778,32.22222222,32.77777778,31.11111111,28.88888889,2001.542094
7/18/2001,STA200108,30,13,48,85,42,36,1.97,9.8,244.5,7,0.8,42.3,29.5,0.74,8.3,32.22222222,32.22222222,32.77777778,32.77777778,32.22222222,32.77777778,31.11111111,28.88888889,2001.542094
8/13/2001,STA200109,30,10,48,85,45,0,3.51,7.3,390.3,20.2,0.4,32.1,31,1.87,8.1,30.55555556,29.44444444,30.55555556,30.55555556,31.66666667,31.66666667,30.55555556,28.88888889,2001.613279
8/13/2001,STA200110,30,8,24,85,39,36,4.68,5.1,376,16,1,26.2,28.7,2.33,7.7,30.55555556,29.44444444,30.55555556,30.55555556,31.66666667,31.66666667,30.55555556,28.88888889,2001.613279
8/13/2001,STA200111,30,9,0,85,40,48,3.54,5.4,240.1,19.1,1.4,51.7,28.2,2.52,8,30.55555556,29.44444444,30.55555556,30.55555556,31.66666667,31.66666667,30.55555556,28.88888889,2001.613279
8/15/2001,STA200112,30,7,12,85,32,24,4.4,5.2,646.4,7.7,0.7,21.6,29.1,2.25,7,32.77777778,29.44444444,30.55555556,29.44444444,30.55555556,30.55555556,31.66666667,31.66666667,2001.618754
8/14/2001,STA200113,30,6,0,85,34,48,0.65,2.7,437.5,24,0.9,16.2,27.9,1.76,8,29.44444444,30.55555556,29.44444444,30.55555556,30.55555556,31.66666667,31.66666667,30.55555556,2001.616016
8/15/2001,STA200114,30,5,24,85,30,36,1.73,3.6,545,6.1,0.7,10.9,30.2,3.45,7,32.77777778,29.44444444,30.55555556,29.44444444,30.55555556,30.55555556,31.66666667,31.66666667,2001.618754
8/15/2001,STA200115,30,4,12,85,31,12,2.46,5.2,696.5,7.1,0.5,12.3,29.1,21.18,7,32.77777778,29.44444444,30.55555556,29.44444444,30.55555556,30.55555556,31.66666667,31.66666667,2001.618754
8/17/2001,STA200116,30,1,12,85,28,12,2.88,3.6,647.1,5.2,0.5,13.5,30.4,5.92,6.8,31.66666667,31.66666667,32.77777778,29.44444444,30.55555556,29.44444444,30.55555556,30.55555556,2001.62423
8/17/2001,STA200117,30,1,48,85,24,36,1.73,4.2,787.4,2.5,0.3,4.6,30.6,8.45,6.2,31.66666667,31.66666667,32.77777778,29.44444444,30.55555556,29.44444444,30.55555556,30.55555556,2001.62423
8/17/2001,STA200118,30,1,12,85,28,12,1.58,3.7,652.3,6.1,0.5,29.5,29.2,6.37,6.9,31.66666667,31.66666667,32.77777778,29.44444444,30.55555556,29.44444444,30.55555556,30.55555556,2001.62423
8/16/2001,STA200119,29,59,24,85,30,0,6.43,6,313.4,30.2,1.6,50.8,30.1,1.51,8,31.66666667,32.77777778,29.44444444,30.55555556,29.44444444,30.55555556,30.55555556,31.66666667,2001.621492
7/19/2001,STA200128,30,16,48,85,38,24,5.62,3.9,384,21.3,0.8,38.4,31.8,5.45,7.6,31.66666667,32.22222222,32.22222222,32.77777778,32.77777778,32.22222222,32.77777778,31.11111111,2001.544832
7/16/2004,STR200401,30,10,12,85,43,48,2.87,7.2,165.8,31.3,3.1,49.6,28.8,2.78,8,33.33333333,32.77777778,33.88888889,35.55555556,34.44444444,33.88888889,32.77777778,31.66666667,2004.539357
